iter	Passed	Remaining
0	150	149996
1	152	75877
2	153	50993
3	155	38617
4	156	31184
5	158	26236
6	159	22690
7	161	19998
8	162	17908
9	164	16248
10	166	14959
11	168	13837
12	169	12853
13	170	12027
14	172	11310
15	174	10705
16	175	10165
17	177	9683
18	179	9288
19	182	8941
20	184	8618
21	188	8372
22	189	8062
23	191	7794
24	193	7534
25	194	7302
26	196	7090
27	198	6899
28	200	6719
29	202	6545
30	204	6381
31	205	6226
32	207	6078
33	208	5937
34	210	5801
35	212	5679
36	213	5564
37	215	5447
38	216	5347
39	218	5246
40	220	5151
41	221	5057
42	223	4965
43	224	4886
44	226	4805
45	228	4730
46	229	4656
47	231	4587
48	232	4513
49	234	4446
50	235	4383
51	237	4330
52	239	4281
53	241	4228
54	242	4171
55	244	4118
56	246	4072
57	247	4019
58	249	3972
59	250	3928
60	252	3882
61	253	3836
62	255	3794
63	256	3752
64	258	3715
65	260	3679
66	261	3642
67	263	3613
68	265	3578
69	266	3545
70	268	3511
71	269	3479
72	271	3447
73	272	3413
74	274	3382
75	275	3351
76	277	3322
77	278	3294
78	279	3264
79	281	3235
80	282	3208
81	284	3183
82	285	3157
83	287	3134
84	289	3114
85	290	3091
86	292	3069
87	293	3045
88	295	3024
89	297	3003
90	298	2982
91	300	2964
92	302	2945
93	303	2926
94	305	2908
95	307	2891
96	308	2873
97	310	2855
98	311	2839
99	313	2821
100	315	2806
101	316	2789
102	318	2775
103	320	2760
104	322	2746
105	323	2728
106	324	2711
107	327	2707
108	329	2692
109	330	2675
110	332	2660
111	333	2645
112	335	2630
113	336	2616
114	338	2601
115	339	2589
116	341	2575
117	342	2560
118	344	2548
119	346	2541
120	348	2532
121	352	2535
122	353	2523
123	355	2510
124	356	2498
125	358	2486
126	359	2472
127	361	2461
128	362	2450
129	366	2449
130	367	2437
131	368	2425
132	370	2415
133	372	2405
134	373	2393
135	375	2383
136	377	2375
137	378	2366
138	380	2356
139	381	2345
140	383	2334
141	384	2324
142	386	2314
143	387	2304
144	389	2294
145	390	2285
146	392	2278
147	394	2270
148	395	2260
149	397	2251
150	398	2242
151	400	2232
152	401	2223
153	403	2217
154	405	2208
155	406	2200
156	408	2192
157	410	2184
158	411	2176
159	413	2169
160	414	2161
161	416	2154
162	418	2146
163	419	2139
164	421	2132
165	423	2130
166	426	2125
167	427	2119
168	429	2110
169	430	2102
170	431	2094
171	433	2086
172	435	2080
173	437	2076
174	438	2069
175	440	2062
176	442	2056
177	444	2050
178	445	2043
179	447	2036
180	448	2030
181	450	2022
182	451	2016
183	453	2010
184	454	2003
185	456	1997
186	457	1989
187	458	1982
188	460	1976
189	462	1969
190	463	1963
191	464	1956
192	466	1952
193	468	1946
194	470	1940
195	471	1934
196	473	1928
197	474	1922
198	476	1916
199	477	1909
200	478	1903
201	480	1898
202	482	1893
203	483	1887
204	485	1881
205	486	1875
206	488	1869
207	489	1863
208	490	1857
209	492	1852
210	494	1847
211	495	1842
212	497	1836
213	499	1834
214	501	1830
215	503	1826
216	505	1822
217	506	1817
218	508	1812
219	510	1809
220	513	1808
221	516	1808
222	518	1806
223	520	1802
224	522	1798
225	523	1793
226	525	1790
227	527	1784
228	528	1779
229	529	1773
230	531	1768
231	532	1762
232	533	1757
233	535	1752
234	537	1748
235	538	1743
236	540	1738
237	541	1733
238	542	1728
239	544	1724
240	546	1720
241	547	1715
242	549	1710
243	550	1705
244	552	1701
